mp_name,party,gender,parliament
Edward Chia Bing Hui,PAP,M,15
Edwin Tong Chun Fai,PAP,M,12
Edwin Tong Chun Fai,PAP,M,13
Edwin Tong Chun Fai,PAP,M,14
Edwin Tong Chun Fai,PAP,M,15
Eileen Chong Pei Shan,WP,F,15
Ellen Lee,PAP,F,12
Elysa Chen,PAP,F,15
Eric Chua,PAP,M,14
Eric Chua,PAP,M,15
Fadli Fawzi,WP,M,15
Faizah Jamal,NMP,F,12
Fatimah Lateef,PAP,F,12
Fatimah Lateef,PAP,F,13
Foo Cexiang,PAP,M,15
Foo Mee Har,PAP,F,12
Foo Mee Har,PAP,F,13
Foo Mee Har,PAP,F,14
Gabriel Lam,PAP,M,15
Gan Kim Yong,PAP,M,12
Gan Kim Yong,PAP,M,13
Gan Kim Yong,PAP,M,14
Gan Kim Yong,PAP,M,15
Gan Siow Huang,PAP,F,14
Gan Siow Huang,PAP,F,15
Gan Thiam Poh,PAP,M,12
Gan Thiam Poh,PAP,M,13
Gan Thiam Poh,PAP,M,14
Ganesh Rajaram,NMP,M,13
Gerald Giam Yean Song,WP,M,12
Gerald Giam Yean Song,WP,M,14
Gerald Giam Yean Song,WP,M,15
Gho Sze Kee,PAP,F,15
Goh Chok Tong,PAP,M,12
Goh Chok Tong,PAP,M,13
Goh Hanyan,PAP,F,15
Goh Pei Ming,PAP,M,15
Grace Fu Hai Yien,PAP,F,12
Grace Fu Hai Yien,PAP,F,13
Grace Fu Hai Yien,PAP,F,14
Grace Fu Hai Yien,PAP,F,15
Halimah Yacob,PAP,F,12
Halimah Yacob,PAP,F,13
Hamid Razak,PAP,M,15
Hany Soh,PAP,F,14
Hany Soh,PAP,F,15
Haresh Singaraju,NMP,M,15
Hawazi Daipi,PAP,M,12
Hazel Poa,PSP,F,14
Hazlina Abdul Halim,PAP,F,15
He Ting Ru,WP,F,14
He Ting Ru,WP,F,15
Heng Chee How,PAP,M,12
Heng Chee How,PAP,M,13
Heng Chee How,PAP,M,14
Heng Swee Keat,PAP,M,12
Heng Swee Keat,PAP,M,13
Heng Swee Keat,PAP,M,14
Hoon Hian Teck,NMP,M,14
Hri Kumar Nair,PAP,M,12
Inderjit Singh,PAP,M,12
Indranee Rajah,PAP,F,12
Indranee Rajah,PAP,F,13
Indranee Rajah,PAP,F,14
Indranee Rajah,PAP,F,15
Intan Azura Mokhtar,PAP,F,12
Intan Azura Mokhtar,PAP,F,13
Irene Ng Phek Hoong,PAP,F,12
Irene Quay Siew Ching,NMP,F,13
Jackson Lam,PAP,M,15
Jamus Jerome Lim,WP,M,14
Jamus Jerome Lim,WP,M,15
Janet Ang,NMP,F,14
Janice Koh,NMP,F,12
Janil Puthucheary,PAP,M,12
Janil Puthucheary,PAP,M,13
Janil Puthucheary,PAP,M,14
Janil Puthucheary,PAP,M,15
Jasmin Lau,PAP,F,15
Jeffrey Siow,PAP,M,15
Jessica Tan Soon Neo,PAP,F,12
Jessica Tan Soon Neo,PAP,F,13
Jessica Tan Soon Neo,PAP,F,14
Jessica Tan Soon Neo,PAP,F,15
Joan Pereira,PAP,F,13
Joan Pereira,PAP,F,14
Joan Pereira,PAP,F,15
Josephine Teo,PAP,F,12
Josephine Teo,PAP,F,13
Josephine Teo,PAP,F,14
Josephine Teo,PAP,F,15
K Karthikeyan,NMP,M,12
K Shanmugam,PAP,M,12
K Shanmugam,PAP,M,13
K Shanmugam,PAP,M,14
K Shanmugam,PAP,M,15
K Thanaletchimi,NMP,F,13
Keith Chua,NMP,M,14
Kenneth Goh,NMP,M,15
Kenneth Poon,NMP,M,15
Kenneth Tiong Boon Kiat,WP,M,15
Khaw Boon Wan,PAP,M,12
Khaw Boon Wan,PAP,M,13
Koh Lian Pin,NMP,M,14
Koh Poh Koon,PAP,M,13
Koh Poh Koon,PAP,M,14
Koh Poh Koon,PAP,M,15
Kok Heng Leun,NMP,M,13
Kuah Boon Theng,NMP,F,15
Kuik Shiao-Yin,NMP,F,12
Kuik Shiao-Yin,NMP,F,13
Kwek Hian Chuan Henry,PAP,M,13
Kwek Hian Chuan Henry,PAP,M,14
Kwek Hian Chuan Henry,PAP,M,15
Lam Pin Min,PAP,M,12
Lam Pin Min,PAP,M,13
Laurence Lien,NMP,M,12
Lawrence Wong,PAP,M,12
Lawrence Wong,PAP,M,13
Lawrence Wong,PAP,M,14
Lawrence Wong,PAP,M,15
Lee Bee Wah,PAP,F,12
Lee Bee Wah,PAP,F,13
Lee Hong Chuang,PAP,M,15
Lee Hsien Loong,PAP,M,12
Lee Hsien Loong,PAP,M,13
Lee Hsien Loong,PAP,M,14
Lee Hsien Loong,PAP,M,15
Lee Hui Ying,PAP,F,15
Lee Kuan Yew,PAP,M,12
Lee Li Lian,WP,F,12
Lee Yi Shyan,PAP,M,12
Lee Yi Shyan,PAP,M,13
Leon Perera,WP,M,13
Leon Perera,WP,M,14
Leong Mun Wai,PSP,M,14
Liang Eng Hwa,PAP,M,12
Liang Eng Hwa,PAP,M,13
Liang Eng Hwa,PAP,M,14
Liang Eng Hwa,PAP,M,15
Lily Neo,PAP,F,12
Lily Neo,PAP,F,13
Lim Biow Chuan,PAP,M,12
Lim Biow Chuan,PAP,M,13
Lim Biow Chuan,PAP,M,14
Lim Hng Kiang,PAP,M,12
Lim Hng Kiang,PAP,M,13
Lim Sun Sun,NMP,F,13
Lim Swee Say,PAP,M,12
Lim Swee Say,PAP,M,13
Lim Wee Kiak,PAP,M,12
Lim Wee Kiak,PAP,M,13
Lim Wee Kiak,PAP,M,14
Lina Chiam,SPP,F,12
Louis Ng Kok Kwang,PAP,M,13
Louis Ng Kok Kwang,PAP,M,14
Low Thia Khiang,WP,M,12
Low Thia Khiang,WP,M,13
Low Wu Yang Andre,WP,M,15
Low Yen Ling,PAP,M,12
Low Yen Ling,PAP,M,13
Low Yen Ling,PAP,M,14
Low Yen Ling,PAP,M,15
Lui Tuck Yew,PAP,M,12
Mah Bow Tan,PAP,M,12
Mahdev Mohan,NMP,M,13
Mariam Jaafar,PAP,F,14
Mariam Jaafar,PAP,F,15
Mark Chay,NMP,M,14
Mark Lee,NMP,M,14
Mark Lee,NMP,M,15
Mary Liew,NMP,F,12
Masagos Zulkifli B M M,PAP,M,12
Masagos Zulkifli B M M,PAP,M,13
Masagos Zulkifli B M M,PAP,M,14
Masagos Zulkifli B M M,PAP,M,15
Melvin Yong Yik Chye,PAP,M,13
Melvin Yong Yik Chye,PAP,M,14
Melvin Yong Yik Chye,PAP,M,15
Mohamad Maliki Bin Osman,PAP,M,12
Mohamad Maliki Bin Osman,PAP,M,13
Mohamad Maliki Bin Osman,PAP,M,14
Mohamed Irshad,NMP,M,13
Mohd Fahmi Aliman,PAP,M,14
Mohd Ismail Hussein,NMP,M,12
Muhamad Faisal Bin Abdul Manap,WP,M,12
Muhamad Faisal Bin Abdul Manap,WP,M,13
Muhamad Faisal Bin Abdul Manap,WP,M,14
Murali Pillai,PAP,M,13
Murali Pillai,PAP,M,14
Murali Pillai,PAP,M,15
Nadia Ahmad Samdin,PAP,F,14
Nadia Ahmad Samdin,PAP,F,15
Neil Parekh Nimil Rajnikant,NMP,M,14
Neo Kok Beng,NMP,M,15
Ng Chee Meng,PAP,M,13
Ng Chee Meng,PAP,M,15
Ng Eng Hen,PAP,M,12
Ng Eng Hen,PAP,M,13
Ng Eng Hen,PAP,M,14
Ng Ling Ling,PAP,F,14
Ng Shi Xuan,PAP,F,15
Nicholas Fang,NMP,M,12
Ong Hua Han,NMP,M,14
Ong Teng Koon,PAP,M,12
Ong Teng Koon,PAP,M,13
Ong Ye Kung,PAP,M,13
Ong Ye Kung,PAP,M,14
